日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2019-01-01,良,68,186,49,67,7,43,1.07,19
2019-01-02,良,80,179,58,84,8,41,0.94,24
2019-01-03,良,86,177,63,92,6,42,0.89,17
2019-01-04,良,71,175,51,87,5,44,0.9,35
2019-01-05,良,89,246,65,106,7,55,1.15,36
2019-01-06,轻度污染,113,263,84,131,7,57,1.08,23
2019-01-07,轻度污染,110,241,82,120,7,51,1.07,29
2019-01-08,轻度污染,119,276,89,139,10,62,1.25,22
2019-01-09,轻度污染,120,331,90,129,8,50,1.02,27
2019-01-10,良,89,239,65,90,5,38,1.05,23
2019-01-11,良,85,194,62,88,6,46,1.24,35
2019-01-12,良,97,210,72,104,6,56,1.32,22
2019-01-13,良,91,165,67,100,7,45,1.29,35
2019-01-14,轻度污染,125,219,94,139,9,62,1.46,27
2019-01-15,良,70,166,45,77,6,43,0.79,41
2019-01-16,良,80,270,56,96,7,46,0.67,39
2019-01-17,轻度污染,111,319,82,132,8,55,0.86,24
2019-01-18,良,94,208,70,106,5,45,0.82,30
2019-01-19,良,78,159,56,91,7,46,0.87,43
2019-01-20,良,81,220,58,106,8,52,0.89,48
2019-01-21,良,61,135,38,70,6,45,0.59,41
2019-01-22,良,93,227,68,109,9,50,0.78,37
2019-01-23,轻度污染,124,305,93,148,11,61,0.99,39
2019-01-24,轻度污染,121,247,91,143,9,63,0.93,30
2019-01-25,轻度污染,136,291,103,154,9,59,1.03,32
2019-01-26,轻度污染,136,312,103,148,8,49,1.07,29
2019-01-27,良,83,203,60,85,4,29,0.92,28
2019-01-28,良,73,165,52,75,5,33,0.94,48
2019-01-29,良,97,216,72,101,5,41,1.0,40
2019-01-30,良,95,221,70,98,5,41,0.97,31
2019-01-31,良,80,310,58,86,5,38,0.99,27
2019-02-01,良,80,217,58,77,5,39,0.93,39
2019-02-02,良,96,225,71,92,5,34,0.98,33
2019-02-03,良,63,108,42,62,5,27,0.87,48
2019-02-04,良,78,181,54,87,7,33,0.8,56
2019-02-05,轻度污染,119,193,89,127,10,32,0.85,66
2019-02-06,轻度污染,101,247,75,109,7,30,0.85,64
2019-02-07,良,81,258,59,88,6,32,0.81,60
2019-02-08,良,71,294,50,78,5,17,0.71,58
2019-02-09,良,59,223,35,66,4,15,0.72,55
2019-02-10,优,49,162,30,49,3,17,0.79,55
2019-02-11,良,59,180,41,60,4,22,0.9,52
2019-02-12,良,55,173,37,56,3,25,0.94,54
2019-02-13,良,76,257,55,80,5,35,1.05,47
2019-02-14,良,88,277,65,93,4,37,1.11,32
2019-02-15,良,70,254,47,76,4,40,1.18,35
2019-02-16,良,70,254,45,87,6,41,1.06,31
2019-02-17,良,52,185,32,54,3,22,0.95,36
2019-02-18,优,39,122,25,38,3,24,0.98,42
2019-02-19,良,58,156,39,60,4,35,0.94,30
2019-02-20,良,69,147,48,71,6,38,0.83,35
2019-02-21,良,64,139,45,72,6,47,0.99,40
2019-02-22,轻度污染,104,255,77,116,10,66,1.22,21
2019-02-23,轻度污染,102,223,76,111,7,48,0.98,30
2019-02-24,良,71,171,51,78,5,36,0.67,27
2019-02-25,良,70,179,50,78,7,43,0.83,27
2019-02-26,良,67,156,48,72,4,34,0.63,43
2019-02-27,良,59,165,41,61,5,39,0.68,42
2019-02-28,良,73,191,52,80,7,48,0.9,31
2019-03-01,良,52,113,36,54,4,35,0.77,32
2019-03-02,优,34,48,19,31,4,33,0.76,50
2019-03-03,良,55,137,33,57,6,43,0.82,48
2019-03-04,良,68,175,48,75,7,42,0.79,42
2019-03-05,良,60,156,39,67,6,45,0.79,46
2019-03-06,良,54,155,37,57,5,47,0.74,44
2019-03-07,优,43,89,28,42,4,33,0.6,39
2019-03-08,优,44,74,29,44,3,27,0.67,53
2019-03-09,良,61,162,41,65,5,40,0.76,56
2019-03-10,良,65,185,46,74,7,44,0.75,61
2019-03-11,良,83,276,57,93,7,47,0.79,68
2019-03-12,良,92,330,68,121,12,71,0.95,45
2019-03-13,良,83,303,60,104,10,47,0.81,44
2019-03-14,良,52,121,28,57,6,49,0.64,42
2019-03-15,良,62,240,39,72,10,49,0.72,38
2019-03-16,良,56,120,37,60,4,38,0.62,46
2019-03-17,良,59,145,40,63,4,43,0.73,40
2019-03-18,良,74,238,52,91,5,58,0.94,38
2019-03-19,良,86,287,63,109,7,56,0.89,41
2019-03-20,良,90,293,65,103,7,52,0.97,57
2019-03-21,良,71,234,39,88,6,45,0.72,50
2019-03-22,良,62,288,31,72,5,32,0.57,53
2019-03-23,良,52,216,24,55,4,34,0.52,54
2019-03-24,良,61,182,39,68,4,42,0.63,46
2019-03-25,良,64,182,42,74,5,48,0.77,40
2019-03-26,良,77,252,55,92,5,50,0.81,47
2019-03-27,良,74,216,51,88,7,48,0.83,57
2019-03-28,良,57,153,31,61,5,38,0.65,69
2019-03-29,良,81,287,52,105,10,50,0.86,76
2019-03-30,良,78,273,48,103,9,50,0.78,56
2019-03-31,良,62,243,31,71,6,36,0.61,56
2019-04-01,良,64,241,42,76,5,36,0.67,48
2019-04-02,良,56,184,38,58,5,30,0.73,49
2019-04-03,优,46,105,27,45,6,36,0.69,46
2019-04-04,良,63,181,44,62,5,34,0.69,59
2019-04-05,良,70,202,43,65,9,42,0.73,64
2019-04-06,良,67,192,35,69,10,52,0.85,73
2019-04-07,良,87,276,49,97,12,59,1.0,84
2019-04-08,良,80,260,49,99,14,58,0.86,78
2019-04-09,良,64,312,28,67,7,35,0.61,90
2019-04-10,良,54,221,27,61,5,34,0.69,57
2019-04-11,优,44,117,24,45,5,27,0.67,55
2019-04-12,良,73,244,52,82,6,45,0.88,37
2019-04-13,良,72,244,48,78,8,40,0.91,47
2019-04-14,优,41,62,16,36,7,24,0.59,71
2019-04-15,优,50,99,30,50,5,25,0.65,52
2019-04-16,良,67,218,46,65,5,35,0.71,60
2019-04-17,良,72,217,51,79,6,41,0.77,55
2019-04-18,良,87,257,63,99,10,56,0.96,59
2019-04-19,良,98,321,68,111,10,56,1.04,72
2019-04-20,优,50,94,30,55,5,37,0.82,54
2019-04-21,优,49,108,23,45,7,36,0.64,66
2019-04-22,良,67,224,33,69,8,44,0.73,78
2019-04-23,良,81,311,43,80,7,49,0.81,97
2019-04-24,良,95,300,52,89,9,49,0.88,107
2019-04-25,良,95,340,48,91,8,46,0.88,107
2019-04-26,良,87,333,45,79,9,43,0.86,117
2019-04-27,良,61,262,33,63,7,23,0.75,98
2019-04-28,优,40,62,17,33,5,18,0.69,68
2019-04-29,优,46,141,23,41,5,29,0.69,72
2019-04-30,优,48,144,24,44,5,36,0.72,69
2019-05-01,良,62,197,42,68,6,38,0.73,67
2019-05-02,良,51,90,31,49,5,23,0.63,72
2019-05-03,良,57,107,38,60,4,24,0.7,62
2019-05-04,良,57,114,37,60,4,26,0.71,54
2019-05-05,优,46,103,30,46,5,28,0.71,51
2019-05-06,优,31,44,13,22,4,19,0.64,55
2019-05-07,优,43,85,10,20,3,15,0.6,83
2019-05-08,优,40,76,22,36,4,33,0.7,70
2019-05-09,优,38,57,14,27,4,28,0.67,71
2019-05-10,良,54,109,28,52,7,41,0.78,64
2019-05-11,良,78,229,56,89,9,47,0.88,70
2019-05-12,良,60,83,34,52,4,24,0.75,86
2019-05-13,良,61,153,24,49,4,19,0.55,104
2019-05-14,良,73,203,49,91,5,29,0.65,80
2019-05-15,良,67,216,45,78,5,35,0.73,66
2019-05-16,良,57,181,27,61,5,41,0.7,66
2019-05-17,良,65,247,42,76,5,41,0.82,63
2019-05-18,良,64,268,44,70,5,38,0.82,66
2019-05-19,良,56,185,29,63,4,29,0.67,56
2019-05-20,良,54,143,24,54,4,27,0.58,65
2019-05-21,良,67,198,28,61,4,35,0.58,92
2019-05-22,良,67,174,37,73,8,37,0.68,85
2019-05-23,良,84,238,44,80,6,46,0.8,95
2019-05-24,良,73,189,46,80,7,42,0.83,85
2019-05-25,良,78,235,51,76,6,38,0.9,92
2019-05-26,良,71,293,45,74,7,51,0.99,69
2019-05-27,良,61,290,27,69,5,37,0.76,60
2019-05-28,优,41,116,18,38,4,21,0.61,66
2019-05-29,优,30,36,17,29,4,23,0.66,45
2019-05-30,优,48,136,31,48,6,41,0.84,45
2019-05-31,良,63,249,41,71,10,42,0.93,57
2019-06-01,良,64,223,32,52,7,31,0.74,93
2019-06-02,良,70,216,32,65,8,37,0.77,99
2019-06-03,良,96,326,47,103,7,55,0.99,104
2019-06-04,轻度污染,115,349,58,109,11,44,0.98,139
2019-06-05,良,68,262,19,38,6,18,0.65,119
2019-06-06,良,63,292,25,45,8,34,0.75,98
2019-06-07,良,63,251,24,40,5,18,0.68,112
2019-06-08,良,54,190,35,55,5,29,0.84,74
2019-06-09,良,54,210,21,39,4,20,0.65,97
2019-06-10,良,53,195,30,50,6,26,0.74,75
2019-06-11,优,50,190,31,49,5,25,0.69,47
2019-06-14,优,34,128,23,34,4,21,0.62,75
2019-06-15,优,26,74,14,21,4,15,0.57,71
2019-06-17,优,40,166,26,39,5,36,0.73,40
2019-06-18,优,35,172,21,35,5,33,0.7,36
2019-06-19,优,32,138,20,31,5,27,0.7,42
2019-06-20,优,38,236,20,37,6,36,0.86,53
2019-06-25,优,35,82,20,34,4,25,0.73,48
2019-06-26,优,42,135,26,41,4,31,0.78,49
2019-06-27,优,43,126,20,34,5,25,0.77,57
2019-06-28,优,35,87,11,27,4,24,0.69,66
2019-06-29,良,63,300,26,54,8,47,0.78,75
