代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数
600313,农发种业,2022-03-31,3,5105.8576,4.72,449.2276,4.3,3
600557,康缘药业,2022-03-31,1,596.7422,1.04,596.7422,0.0,0
600586,金晶科技,2022-03-31,2,1165.97,0.82,365.97,0.56,1
600731,湖南海利,2022-03-31,4,1205.514,2.61,403.455,1.74,2
921,海信家电,2022-03-31,3,3256.9512,2.39,-1329.6751,3.37,4
2032,苏泊尔,2022-03-31,5,1051.0446,1.3,431.1126,0.77,4
605358,立昂微,2022-03-31,1,482.2978,1.05,106.61,0.82,1
2311,海大集团,2022-03-31,3,7081.4735,4.26,-167.4349,4.36,3
688663,新风光,2022-03-31,2,293.7058,2.1,-194.6763,3.49,5
601636,旗滨集团,2022-03-31,5,10406.0775,3.87,4589.1402,2.17,4
2664,长鹰信质,2022-03-31,2,1230.2366,3.05,-51.3134,3.17,2
300337,银邦股份,2022-03-31,2,2860.75,3.48,1830.56,1.25,2
300504,天邑股份,2022-03-31,2,143.68,0.53,143.68,0.0,0
688677,海泰新光,2022-03-31,1,139.1725,1.6,139.1725,0.0,0
603659,璞泰来,2022-03-31,3,2231.1579,3.21,-214.225,3.52,3
